cluster,title,expected_image,expected_html,match_type,matched_file,matched_title,actual_image,expected_image_exists,image_match
B - Retail,High-End Lighting Design for Jewelry Retail,interni-villa-a-partanna-di-sera.webp,lighting-design-jewelry-retail.html,title:0.78,high-end-lighting-design-for-jewelry-and-fashion-retail.html,High-End Lighting Design for Jewelry and Fashion Retail,high-end-lighting-design-for-jewelry-and-fashion-retail.webp,no,no
B - Retail,Security Systems for Luxury Retail: Tech in Old Buildings,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,security-systems-luxury-retail.html,title:0.90,security-systems-for-luxury-retail-integrating-tech-in-old-buildings.html,Security Systems for Luxury Retail: Integrating Tech in Old Buildings,security-systems-for-luxury-retail-integrating-tech-in-old-buildings.webp,yes,no
B - Retail,Air Conditioning Constraints: Hidden Solutions,architettura-di-interni-a-palermo-bagno.webp,ac-constraints-historic-center.html,title:0.56,air-conditioning-constraints-in-the-historic-center-hidden-solutions.html,Air Conditioning Constraints in the Historic Center: Hidden Solutions,air-conditioning-constraints-in-the-historic-center-hidden-solutions.webp,yes,no
B - Retail,The Cost of Renovating Commercial Space (Per Sqm),ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,cost-renovating-commercial-space.html,title:0.80,the-cost-of-renovating-commercial-space-in-taormina-per-sqm.html,The Cost of Renovating Commercial Space in Taormina (Per Sqm),the-cost-of-renovating-commercial-space-in-taormina-per-sqm.webp,yes,no
B - Retail,Accessibility Laws (ADA equivalent): Ramps,scalamoderna-a-partanna.webp,accessibility-laws-taormina.html,title:0.62,accessibility-laws-ada-equivalent-ramps-in-medieval-streets.html,Accessibility Laws (ADA equivalent): Ramps in Medieval Streets,accessibility-laws-ada-equivalent-ramps-in-medieval-streets.webp,no,no
B - Retail,"Signage Regulations: What the ""Soprintendenza"" Allows",dettagli-esterni-villa-rivestimento-corten.webp,signage-regulations-taormina.html,title:1.00,signage-regulations-what-the-soprintendenza-allows.html,"Signage Regulations: What the ""Soprintendenza"" Allows",signage-regulations-what-the-soprintendenza-allows.webp,yes,no
B - Retail,Logistics for Retail Fit-Out: Glass & Marble Transport,dettagli-esterni-villa-rivestimento-corten.webp,logistics-retail-fitout.html,title:0.54,logistics-for-retail-fit-out-getting-glass-and-marble-into-narrow-streets.html,Logistics for Retail Fit-Out: Getting Glass and Marble into Narrow Streets,logistics-for-retail-fit-out-getting-glass-and-marble-into-narrow-streets.webp,yes,no
B - Retail,Leasehold vs. Freehold: Building Condition Check,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,leasehold-freehold-building-check.html,title:0.50,leasehold-vs-freehold-assessing-the-building-condition-before-signing.html,Leasehold vs. Freehold: Assessing the Building Condition Before Signing,leasehold-vs-freehold-assessing-the-building-condition-before-signing.webp,yes,no
C - Villas,Infinity Pools on Steep Cliffs: Engineering,villa-moderna-con-spazi-verdi.webp,infinity-pools-steep-cliffs.html,title:0.67,infinity-pools-on-steep-cliffs-structural-engineering-and-permits.html,Infinity Pools on Steep Cliffs: Structural Engineering and Permits,infinity-pools-on-steep-cliffs-structural-engineering-and-permits.webp,yes,no
C - Villas,Buying Land with a View: Landslide Risks,villasulmare.webp,buying-land-view-risks.html,title:0.70,buying-land-with-a-view-landslide-risks-and-geotechnical-surveys.html,Buying Land with a View: Landslide Risks and Geotechnical Surveys,buying-land-with-a-view-landslide-risks-and-geotechnical-surveys.webp,yes,no
C - Villas,Seismic Safety: Retrofitting Villas for Earthquakes,dettagli-esterni-villa-rivestimento-corten.webp,seismic-safety-taormina-villas.html,title:0.75,seismic-safety-in-taormina-retrofitting-villas-for-earthquakes.html,Seismic Safety in Taormina: Retrofitting Villas for Earthquakes,seismic-safety-in-taormina-retrofitting-villas-for-earthquakes.webp,yes,no
C - Villas,Private Access to the Sea: Legal Rights,villasulmare.webp,private-access-sea-rights.html,title:0.70,private-access-to-the-sea-legal-rights-and-construction-challenges.html,Private Access to the Sea: Legal Rights and Construction Challenges,private-access-to-the-sea-legal-rights-and-construction-challenges.webp,yes,no
C - Villas,Landscaping on Lava Rock: Lush Gardens,villa-moderna-con-spazi-verdi.webp,landscaping-lava-rock-gardens.html,title:0.60,landscaping-on-lava-rock-creating-lush-gardens-in-dry-climates.html,Landscaping on Lava Rock: Creating Lush Gardens in Dry Climates,landscaping-on-lava-rock-creating-lush-gardens-in-dry-climates.webp,yes,no
C - Villas,Helipads and Private Driveways: Feasibility,villa-moderna-con-spazi-verdi.webp,helipads-private-driveways.html,title:0.50,helipads-and-private-driveways-feasibility-for-high-net-worth-villas.html,Helipads and Private Driveways: Feasibility for High-Net-Worth Villas,helipads-and-private-driveways-feasibility-for-high-net-worth-villas.webp,yes,no
C - Villas,Smart Villas: Remote Control Security,interni-villa-a-partanna-di-sera.webp,smart-villas-remote-security.html,title:0.62,smart-villas-remote-control-security-and-climate-systems.html,Smart Villas: Remote Control Security and Climate Systems,smart-villas-remote-control-security-and-climate-systems.webp,no,no
C - Villas,Underground Garages: Excavating Hard Rock,wine-cellar-sicilia.webp,underground-garages-excavation.html,title:0.62,underground-garages-the-cost-of-excavating-hard-rock.html,Underground Garages: The Cost of Excavating Hard Rock,underground-garages-the-cost-of-excavating-hard-rock.webp,yes,no
C - Villas,Water Management: Cisterns and Desalination,villa-moderna-con-spazi-verdi.webp,water-management-cisterns.html,title:0.62,water-management-cisterns-and-desalination-for-large-estates.html,Water Management: Cisterns and Desalination for Large Estates,water-management-cisterns-and-desalination-for-large-estates.webp,yes,no
C - Villas,Outdoor Kitchens and Terraces: Summer Design,villa-moderna-con-spazi-verdi.webp,outdoor-kitchens-terraces.html,title:0.50,outdoor-kitchens-and-terraces-designing-for-the-sicilian-summer.html,Outdoor Kitchens and Terraces: Designing for the Sicilian Summer,outdoor-kitchens-and-terraces-designing-for-the-sicilian-summer.webp,yes,no
D - Palazzos,"Purchasing an Entire Palazzo: ""Clean Title"" Check",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,purchasing-entire-palazzo.html,title:0.67,purchasing-an-entire-palazzo-the-clean-title-investigation.html,"Purchasing an Entire Palazzo: The ""Clean Title"" Investigation",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
D - Palazzos,Structural Consolidation of 18th Century Buildings,wine-cellar-sicilia.webp,structural-consolidation-historic.html,title:0.67,structural-consolidation-of-18th-century-buildings-techniques-and-costs.html,Structural Consolidation of 18th Century Buildings: Techniques and Costs,wine-cellar-sicilia.webp,yes,yes
D - Palazzos,Installing Elevators in Historic Stairwells,scalamoderna-a-partanna.webp,installing-elevators-historic.html,title:0.71,installing-elevators-in-historic-stairwells-technical-solutions.html,Installing Elevators in Historic Stairwells: Technical Solutions,scalamoderna.webp,no,no
D - Palazzos,Roof Restoration: Antique Tiles & Modern Insulation,dettagli-esterni-villa-rivestimento-corten.webp,roof-restoration-taormina.html,title:0.75,roof-restoration-preserving-antique-tiles-with-modern-insulation.html,Roof Restoration: Preserving Antique Tiles with Modern Insulation,dettagli-esterni-villa-rivestimento-corten.webp,yes,yes
D - Palazzos,Splitting a Palazzo into Luxury Apartments,interni-loft.webp,splitting-palazzo-apartments.html,title:0.75,splitting-a-palazzo-into-luxury-apartments-cadastral-procedures.html,Splitting a Palazzo into Luxury Apartments: Cadastral Procedures,interni-loft.webp,yes,yes
D - Palazzos,Rising Damp in Old Masonry: Diagnosis,wine-cellar-sicilia.webp,rising-damp-masonry-diagnosis.html,title:0.67,rising-damp-in-old-masonry-diagnosis-and-definitive-cures.html,Rising Damp in Old Masonry: Diagnosis and Definitive Cures,wine-cellar-sicilia.webp,yes,yes
D - Palazzos,Heritage Tax Credits: Incentives for Restoration,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,heritage-tax-credits-italy.html,title:0.67,heritage-tax-credits-analyzing-incentives-for-restoration-if-applicable.html,Heritage Tax Credits: Analyzing Incentives for Restoration (If Applicable),ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
D - Palazzos,Restoring Frescoes and Stone Details,interni-loft.webp,restoring-frescoes-stone.html,title:0.62,restoring-frescoes-and-stone-details-finding-skilled-artisans.html,Restoring Frescoes and Stone Details: Finding Skilled Artisans,interni-loft.webp,yes,yes
D - Palazzos,Heating and Cooling Historic Palazzos,interni-villa-a-partanna-di-sera.webp,heating-cooling-historic-palazzos.html,title:0.56,heating-and-cooling-historic-palazzos-underfloor-vs-fan-coils.html,Heating and Cooling Historic Palazzos: Underfloor vs. Fan Coils,interni-villa-di-sera.webp,no,no
D - Palazzos,"The ""Agibilità"" Certificate: Why You Need It",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,agibilita-certificate-explained.html,title:0.42,the-agibilita-certificate-why-you-cant-rent-without-it.html,"The ""Agibilita"" Certificate: Why You Can't Rent Without It",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
E - Logistics,Construction Logistics: Why Small Trucks Cost More,dettagli-esterni-villa-rivestimento-corten.webp,construction-logistics-costs.html,title:0.78,construction-logistics-in-taormina-why-small-trucks-cost-more.html,Construction Logistics in Taormina: Why Small Trucks Cost More,dettagli-esterni-villa-rivestimento-corten.webp,yes,yes
E - Logistics,"The ""Summer Ban"": Renovation Rules (Jun-Sep)",dettagli-esterni-villa-rivestimento-corten.webp,summer-ban-renovation-rules.html,,,,,yes,no
E - Logistics,Occupying Public Land: Scaffolding Permits,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,occupying-public-land-permits.html,title:0.62,occupying-public-land-scaffolding-permits-in-narrow-alleys.html,Occupying Public Land: Scaffolding Permits in Narrow Alleys,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
E - Logistics,"Dealing with the ""Soprintendenza"" (Heritage Authority)",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,dealing-with-soprintendenza.html,title:0.86,dealing-with-the-soprintendenza-the-heritage-authority-explained.html,"Dealing with the ""Soprintendenza"": The Heritage Authority Explained",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
E - Logistics,Why Fixed-Price Contracts are Rare in Italy,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,fixed-price-contracts-italy.html,title:0.46,why-fixed-price-contracts-are-rare-and-how-to-control-budget.html,Why Fixed-Price Contracts are Rare (and How to Control Budget),ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
E - Logistics,Waste Disposal Costs: Moving Debris from Pedestrian Zones,dettagli-esterni-villa-rivestimento-corten.webp,waste-disposal-costs-taormina.html,title:0.70,waste-disposal-costs-moving-debris-from-a-pedestrian-zone.html,Waste Disposal Costs: Moving Debris from a Pedestrian Zone,dettagli-esterni-villa-rivestimento-corten.webp,yes,yes
E - Logistics,Finding a Reliable Builder: Local Vetting,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,finding-reliable-builder.html,title:0.55,finding-a-reliable-builder-in-taormina-the-importance-of-local-vetting.html,Finding a Reliable Builder in Taormina: The Importance of Local Vetting,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
E - Logistics,"Utility Connections (Gas, Water, Fiber): Delays",architettura-di-interni-a-palermo-bagno.webp,utility-connections-delays.html,title:0.75,utility-connections-gas-water-fiber-delays-to-expect.html,"Utility Connections (Gas, Water, Fiber): Delays to Expect",architettura-di-interni-a-palermo-bagno.webp,yes,yes
E - Logistics,"The Role of ""Direttore dei Lavori"": Your Eyes on Ground",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,direttore-dei-lavori-role.html,title:1.00,the-role-of-the-direttore-dei-lavori-your-eyes-on-the-ground.html,"The Role of the ""Direttore dei Lavori"": Your Eyes on the Ground",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
E - Logistics,Closing the Deal: Notary Fees & Taxes for Foreigners,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,closing-deal-fees-taxes.html,title:0.73,closing-the-deal-notary-fees-taxes-and-hidden-costs-for-foreigners.html,"Closing the Deal: Notary Fees, Taxes, and Hidden Costs for Foreigners",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,yes,yes
A - Hospitality,Trasformare un Palazzo Storico in Boutique Hotel a Taormina,ristorante-sushi-palermo.webp,rasformazione-boutique-hotel-taormina.html,title:0.69,trasformare-un-palazzo-storico-in-boutique-hotel-a-taormina-normativa-antincendio-e-ascensori.html,Trasformare un Palazzo Storico in Boutique Hotel a Taormina: Normativa Antincendio e Ascensori,ristorante-sushi-palermo.webp,yes,yes
A - Hospitality,Aprire un B&B di Lusso su Corso Umberto: Requisiti ASL,architettura-di-interni-a-palermo-bagno.webp,aprire-bnb-lusso-corso-umberto.html,title:0.60,aprire-un-bandb-di-lusso-su-corso-umberto-requisiti-igienico-sanitari-e-barriere-architettoniche.html,Aprire un B&B di Lusso su Corso Umberto: Requisiti Igienico-Sanitari e Barriere Architettoniche,wine-cellar-sicilia.webp,yes,no
A - Hospitality,Cambio di Destinazione d'Uso: Da Residenziale a Turistico,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,cambio-destinazione-uso-taormina.html,title:0.69,cambio-di-destinazione-duso-da-residenziale-a-turistico-ricettivo-nel-centro-storico.html,Cambio di Destinazione d'Uso: Da Residenziale a Turistico-Ricettivo nel Centro Storico,wine-cellar-sicilia.webp,yes,no
A - Hospitality,Progettare una Spa in Spazi Ristretti (Scavo e Impermeabilizzazione),wine-cellar-sicilia.webp,progettazione-spa-taormina.html,title:0.82,progettare-una-spa-in-spazi-ristretti-scavo-e-impermeabilizzazione-nei-vicoli.html,Progettare una Spa in Spazi Ristretti: Scavo e Impermeabilizzazione nei Vicoli,ristorante-sushi-palermo.webp,yes,no
A - Hospitality,Rooftop Bar e Terrazze Panoramiche: Calcolo Carichi,interni-villa-a-partanna-di-sera.webp,rooftop-bar-autorizzazioni-taormina.html,title:0.70,rooftop-bar-e-terrazze-panoramiche-calcolo-dei-carichi-e-autorizzazioni-paesaggistiche.html,Rooftop Bar e Terrazze Panoramiche: Calcolo dei Carichi e Autorizzazioni Paesaggistiche,ristorante-sushi-palermo.webp,no,no
A - Hospitality,Resort a Mare (Mazzarò/Isola Bella): Concessioni Demaniali,villasulmare.webp,resort-mare-mazzaro-concessioni.html,title:0.73,resort-a-mare-mazzaro-isola-bella-concessioni-demaniali-e-vincoli-costieri.html,Resort a Mare (Mazzarò/Isola Bella): Concessioni Demaniali e Vincoli Costieri,villasulmare.webp,yes,yes
A - Hospitality,Insonorizzazione Camere d'Albergo: Proteggere il Sonno,interni-loft.webp,insonorizzazione-hotel-taormina.html,title:0.64,insonorizzazione-camere-dalbergo-proteggere-il-sonno-degli-ospiti-dalla-movida.html,Insonorizzazione Camere d'Albergo: Proteggere il Sonno degli Ospiti dalla Movida,ristorante-sushi-palermo.webp,yes,no
A - Hospitality,Domotica Alberghiera per Strutture Non Presidiate,interni-villa-a-partanna-di-sera.webp,domotica-alberghiera-taormina.html,title:0.60,domotica-alberghiera-gestione-accessi-e-clima-per-strutture-non-presidiate.html,Domotica Alberghiera: Gestione Accessi e Clima per Strutture Non Presidiate,wine-cellar-sicilia.webp,no,no
A - Hospitality,Cucine Industriali per Ristoranti: Canna Fumaria,ristorante-sushi-palermo.webp,cucine-industriali-normativa-taormina.html,title:0.46,cucine-industriali-per-ristoranti-nel-borgo-canna-fumaria-e-filtri-ai-carboni-attivi.html,Cucine Industriali per Ristoranti nel Borgo: Canna Fumaria e Filtri ai Carboni Attivi,ristorante-sushi-palermo.webp,yes,yes
A - Hospitality,Sicurezza Sismica per Alberghi Storici,dettagli-esterni-villa-rivestimento-corten.webp,sicurezza-sismica-alberghi-taormina.html,title:0.50,sicurezza-sismica-per-alberghi-storici-adeguamento-senza-chiudere-lattivita.html,Sicurezza Sismica per Alberghi Storici: Adeguamento Senza Chiudere l'Attività,ristorante-sushi-palermo.webp,yes,no
B - Retail,Ristrutturare un Negozio su Corso Umberto: Logistica,dettagli-esterni-villa-rivestimento-corten.webp,ristrutturazione-negozio-corso-umberto.html,title:0.58,ristrutturare-un-negozio-su-corso-umberto-logistica-orari-cantiere-e-suolo-pubblico.html,"Ristrutturare un Negozio su Corso Umberto: Logistica, Orari Cantiere e Suolo Pubblico",wine-cellar-sicilia.webp,yes,no
B - Retail,Retail Design per Brand di Lusso: Illuminazione,interni-villa-a-partanna-di-sera.webp,retail-design-lusso-taormina.html,title:0.64,retail-design-per-brand-di-lusso-illuminazione-tecnica-e-materiali-preziosi.html,Retail Design per Brand di Lusso: Illuminazione Tecnica e Materiali Preziosi,wine-cellar-sicilia.webp,no,no
B - Retail,Vetrine in Centro Storico: Vincoli Soprintendenza,dettagli-esterni-villa-rivestimento-corten.webp,vetrine-centro-storico-vincoli.html,title:0.55,vetrine-in-centro-storico-vincoli-della-soprintendenza-su-infissi-e-insegne.html,Vetrine in Centro Storico: Vincoli della Soprintendenza su Infissi e Insegne,wine-cellar-sicilia.webp,yes,no
B - Retail,Climatizzazione Invisibile per Boutique,architettura-di-interni-a-palermo-bagno.webp,climatizzazione-invisibile-boutique.html,title:0.50,climatizzazione-invisibile-per-boutique-niente-split-in-facciata.html,Climatizzazione Invisibile per Boutique: Niente Split in Facciata,wine-cellar-sicilia.webp,yes,no
B - Retail,Sicurezza Antirapina: Vetri Blindati in Edifici Storici,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,sicurezza-antirapina-negozi-taormina.html,title:0.78,sicurezza-antirapina-vetri-blindati-e-caveau-in-edifici-storici.html,Sicurezza Antirapina: Vetri Blindati e Caveau in Edifici Storici,wine-cellar-sicilia.webp,yes,no
B - Retail,Pavimenti per Alto Calpestio: Marmi e Pietra di Taormina,wine-cellar-sicilia.webp,pavimenti-commerciali-pietra-taormina.html,title:0.69,pavimenti-per-alto-calpestio-marmi-e-pietra-di-taormina-che-resistono-allusura.html,Pavimenti per Alto Calpestio: Marmi e Pietra di Taormina che Resistono all'Usura,wine-cellar-sicilia.webp,yes,yes
B - Retail,Magazzini e Logistica per Negozi: Gestire lo Stock,scalamoderna-a-partanna.webp,logistica-magazzini-negozi-taormina.html,title:0.67,magazzini-e-logistica-per-negozi-gestire-lo-stock-in-pochi-metri-quadri.html,Magazzini e Logistica per Negozi: Gestire lo Stock in Pochi Metri Quadri,wine-cellar-sicilia.webp,no,no
B - Retail,Accessibilità Negozi: Rampe e Barriere Architettoniche,scalamoderna-a-partanna.webp,accessibilita-negozi-taormina.html,,,,,no,no
B - Retail,Temporary Store a Taormina: Permessi Veloci,ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,emporary-store-permessi-taormina.html,title:0.60,temporary-store-a-taormina-permessi-veloci-per-la-stagione-estiva.html,Temporary Store a Taormina: Permessi Veloci per la Stagione Estiva,wine-cellar-sicilia.webp,yes,no
B - Retail,Restauro Facciate Commerciali: Pulitura Pietra,dettagli-esterni-villa-rivestimento-corten.webp,restauro-facciate-commerciali-taormina.html,title:0.56,restauro-facciate-commerciali-pulitura-della-pietra-e-ripristino-intonaci.html,Restauro Facciate Commerciali: Pulitura della Pietra e Ripristino Intonaci,wine-cellar-sicilia.webp,yes,no
C - Ville,Costruire una Piscina a Sfioro su Terreno Scosceso,villa-moderna-con-spazi-verdi.webp,piscina-sfioro-terreno-scosceso.html,title:0.73,costruire-una-piscina-a-sfioro-su-terreno-scosceso-micropali-e-consolidamento.html,Costruire una Piscina a Sfioro su Terreno Scosceso: Micropali e Consolidamento,costruire-una-piscina-a-sfioro-su-terreno-scosceso-micropali-e-consolidamento.webp,yes,no
C - Ville,Ville a Strapiombo sul Mare: Rischio Idrogeologico,villasulmare.webp,ville-strapiombo-mare-taormina.html,title:0.64,ville-a-strapiombo-sul-mare-gestione-del-rischio-idrogeologico-e-frane.html,Ville a Strapiombo sul Mare: Gestione del Rischio Idrogeologico e Frane,ville-a-strapiombo-sul-mare-gestione-del-rischio-idrogeologico-e-frane.webp,yes,no
C - Ville,Giardini Verticali e Terrazzamenti: Muri a Secco,villa-moderna-con-spazi-verdi.webp,giardini-verticali-muri-secco.html,title:0.64,giardini-verticali-e-terrazzamenti-muri-a-secco-e-scelta-delle-piante-autoctone.html,Giardini Verticali e Terrazzamenti: Muri a Secco e Scelta delle Piante Autoctone,giardini-verticali-e-terrazzamenti-muri-a-secco-e-scelta-delle-piante-autoctone.webp,yes,no
C - Ville,Ascensori Inclinati e Funicolari Private,scalamoderna-a-partanna.webp,ascensori-inclinati-ville-taormina.html,title:0.50,ascensori-inclinati-e-funicolari-private-superare-i-dislivelli-in-villa.html,Ascensori Inclinati e Funicolari Private: Superare i Dislivelli in Villa,ascensori-inclinati-e-funicolari-private-superare-i-dislivelli-in-villa.webp,no,no
C - Ville,Pergolati e Zone Ombra: Cubatura e Permessi,villa-moderna-con-spazi-verdi.webp,pergolati-zone-ombra-taormina.html,title:0.42,pergolati-e-zone-ombra-cosa-si-puo-costruire-senza-erodere-cubatura.html,Pergolati e Zone Ombra: Cosa si può Costruire Senza Erodere Cubatura,pergolati-e-zone-ombra-cosa-si-puo-costruire-senza-erodere-cubatura.webp,yes,no
C - Ville,Impianti Fotovoltaici Invisibili: Tegole Solari,dettagli-esterni-villa-rivestimento-corten.webp,fotovoltaico-invisibile-vincoli.html,title:0.62,impianti-fotovoltaici-invisibili-tegole-solari-e-integrazione-paesaggistica.html,Impianti Fotovoltaici Invisibili: Tegole Solari e Integrazione Paesaggistica,impianti-fotovoltaici-invisibili-tegole-solari-e-integrazione-paesaggistica.webp,yes,no
C - Ville,Parcheggi Interrati in Roccia: Scavo e Smaltimento,wine-cellar-sicilia.webp,parcheggi-interrati-roccia-taormina.html,title:0.70,parcheggi-interrati-in-roccia-costi-di-scavo-e-smaltimento-materiale.html,Parcheggi Interrati in Roccia: Costi di Scavo e Smaltimento Materiale,parcheggi-interrati-in-roccia-costi-di-scavo-e-smaltimento-materiale.webp,yes,no
C - Ville,Villeggiature Invernali: Riscaldamento a Pavimento,interni-villa-a-partanna-di-sera.webp,riscaldamento-ville-taormina.html,title:0.56,villeggiature-invernali-riscaldamento-a-pavimento-vs-pompe-di-calore.html,Villeggiature Invernali: Riscaldamento a Pavimento vs Pompe di Calore,villeggiature-invernali-riscaldamento-a-pavimento-vs-pompe-di-calore.webp,no,no
C - Ville,Domotica per Ville Isolate: Sicurezza Remota,interni-villa-a-partanna-di-sera.webp,domotica-sicurezza-ville-taormina.html,title:0.40,domotica-per-ville-isolate-videosorveglianza-e-controllo-remoto.html,Domotica per Ville Isolate: Videosorveglianza e Controllo Remoto,domotica-per-ville-isolate-videosorveglianza-e-controllo-remoto.webp,no,no
C - Ville,Recupero Acque Piovane e Riserve Idriche,villa-moderna-con-spazi-verdi.webp,recupero-acque-piovane-ville.html,title:0.67,recupero-acque-piovane-e-riserve-idriche-autonomia-in-estate.html,Recupero Acque Piovane e Riserve Idriche: Autonomia in Estate,recupero-acque-piovane-e-riserve-idriche-autonomia-in-estate.webp,yes,no
D - Palazzi,"Comprare un ""Cielo-Terra"": Due Diligence Strutturale",ufficio-studio4e-palermo-centro-piazza-santoliva-19.webp,acquisto-cielo-terra-taormina.html,title:0.64,comprare-un-cielo-terra-a-taormina-due-diligence-strutturale-e-legale.html,"Comprare un ""Cielo-Terra"" a Taormina: Due Diligence Strutturale e Legale",comprare-un-cielo-terra-a-taormina-due-diligence-strutturale-e-legale.webp,yes,no
D - Palazzi,Frazionamento Immobiliare: Dividere un Palazzo,interni-loft.webp,frazionamento-palazzo-lusso.html,title:0.56,frazionamento-immobiliare-dividere-un-palazzo-in-appartamenti-di-lusso.html,Frazionamento Immobiliare: Dividere un Palazzo in Appartamenti di Lusso,frazionamento-immobiliare-dividere-un-palazzo-in-appartamenti-di-lusso.webp,yes,no
